id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha21_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM
1,0.557631,0.0369772,-0.0542369,0.0643243,0.01475,0.0162374,0.769737,0.150211,0,0,0,0,0,0,0,0,0,0
2,1.46647,-0.0389468,0.00453415,-0.34782,-0.0878312,-0.0021552,-0.738254,-0.130752,0,0,0,0,0,0,0,0,0,0
3,2.96245,0.0805866,-0.0363175,0.29578,-0.0244899,0.000209025,0.292169,-0.0911674,0,0,0,0,0,0,0,0,0,0
4,1.82907,0.0853987,0.0243314,-0.093443,-0.0453135,0.000892698,-0.0915564,0.321678,0,0,0,0,0,0,0,0,0,0
5,-1.3345,0.150731,0.0194706,-0.179418,-0.00389403,-0.000638189,0.86941,0.0647963,0,0,0,0,0,0,0,0,0,0
6,-0.636362,-0.00762194,0.0176405,0.0624181,0.00306731,0.00033741,0.0437647,-0.0325147,0,0,0,0,0,0,0,0,0,0
7,1.4502,0.0253171,-0.00427971,-0.182917,-0.0281122,-0.00315837,-0.454554,-0.166079,0,0,0,0,0,0,0,0,0,0
8,-0.631777,-0.0061678,-0.0152957,-0.296913,0.0284608,0.000271898,-0.113888,-0.110776,0,0,0,0,0,0,0,0,0,0
9,-1.54108,0.161805,-0.025388,0.722765,-0.0377199,-0.00352125,0.123147,-0.0239325,0,0,0,0,0,0,0,0,0,0
10,0.639778,0.15425,-0.0574447,1.23295,0.000126452,0.00339255,2.31139,-0.0633569,0,0,0,0,0,0,0,0,0,0
11,-1.58262,-0.0546374,0.0453816,-0.302423,0.00965453,0.00329095,-0.255492,-0.0570916,0,0,0,0,0,0,0,0,0,0
12,-2.10289,-0.0657233,-2.13775e-05,-0.313909,0.00952607,-0.00116974,-0.147004,0.019223,0,0,0,0,0,0,0,0,0,0
13,0.732656,0.0263528,-0.00959614,0.0719827,-0.00506408,-5.34138e-05,0.40857,0.0781975,0,0,0,0,0,0,0,0,0,0
14,-0.0504526,-0.0393698,0.0120118,-0.277883,0.0287846,0.000597199,0.965488,0.0145965,0,0,0,0,0,0,0,0,0,0
15,-0.105285,0.0315106,-0.00627522,-0.39749,-0.01387,-0.00207263,-0.655697,0.167969,0,0,0,0,0,0,0,0,0,0
16,-0.139897,0.0356348,-0.00875279,0.164238,-0.029674,-3.97987e-05,0.662088,0.0647514,0,0,0,0,0,0,0,0,0,0
17,-1.32736,-0.0349355,-0.00110045,-0.247848,0.0421525,0.00250036,1.86724,0.125611,0,0,0,0,0,0,0,0,0,0
18,-1.21285,-0.0159591,0.00832395,0.0566645,-0.0184833,-0.000145081,0.0562448,-0.0334006,0,0,0,0,0,0,0,0,0,0
19,1.07027,0.0208109,0.000242247,0.0503847,-0.0445119,-0.000603436,0.0873799,0.0785463,0,0,0,0,0,0,0,0,0,0
20,-1.09898,0.163429,-0.00507813,0.677618,0.0699924,0.00518406,0.408673,0.271424,0,0,0,0,0,0,0,0,0,0
21,-2.79353,-0.00040522,-0.00759313,-0.39716,-0.0491006,-0.00506838,-0.101634,-0.137696,0,0,0,0,0,0,0,0,0,0
22,0.39557,0.0225391,-0.0173211,-0.103543,0.018634,0.00182475,-0.972946,-0.015468,0,0,0,0,0,0,0,0,0,0
23,0.639972,0.0217211,0.0296332,-0.219807,-0.0267764,-0.00477723,1.29077,-0.140493,0,0,0,0,0,0,0,0,0,0
24,1.63693,0.169199,0.005415,0.154461,-0.0165871,-0.00173372,-0.240232,0.0227168,0,0,0,0,0,0,0,0,0,0
25,0.545235,-0.00661771,-0.00189025,-0.028571,-0.024009,0.000623747,0.310766,-0.041679,0,0,0,0,0,0,0,0,0,0
26,2.1239,0.152523,-0.000628383,0.286996,-0.00612805,0.00268481,0.183507,0.15695,0,0,0,0,0,0,0,0,0,0
27,-3.86935,-0.00443831,-0.0714001,-0.123974,-0.0281461,-0.00464101,-0.373936,-0.157252,0,0,0,0,0,0,0,0,0,0
28,2.61818,0.0376335,-0.0185794,0.384349,-0.013867,-0.000519642,0.133159,0.0809021,0,0,0,0,0,0,0,0,0,0
29,0.827448,-0.0621785,0.0216365,-0.240472,-0.00526509,0.00364379,-2.05645,-0.0528605,0,0,0,0,0,0,0,0,0,0
30,-2.70958,0.127362,0.00365565,-0.471929,0.0643369,0.00871587,2.06636,-0.145124,0,0,0,0,0,0,0,0,0,0
31,-1.18628,0.0855723,-0.0219486,0.0835989,-0.0512499,-0.00315181,-1.23695,0.0153224,0,0,0,0,0,0,0,0,0,0
32,-0.0789013,-0.00791551,0.00420976,0.0336396,-0.0237895,0.000377177,-0.962247,-0.0200432,0,0,0,0,0,0,0,0,0,0
33,0.321579,0.0735341,-0.0109957,-0.0357932,-0.0167586,-0.00201656,0.13606,0.197062,0,0,0,0,0,0,0,0,0,0
34,-0.019651,-0.0279681,0.0200421,-0.210568,0.0220974,0.000745426,-0.501543,0.191772,0,0,0,0,0,0,0,0,0,0
35,-1.02061,-0.20589,0.0506592,1.1204,0.029542,0.00690631,-1.01883,-0.312669,0,0,0,0,0,0,0,0,0,0
36,-0.272678,-0.0289007,-0.003345,-0.225148,0.0423432,0.00356073,-0.0604883,-0.156034,0,0,0,0,0,0,0,0,0,0
37,0.0583822,-0.0681765,0.0125765,-0.205569,-0.0275905,-0.000528299,1.25948,-0.0929008,0,0,0,0,0,0,0,0,0,0
38,0.394963,-0.0220078,0.00234906,-0.177307,0.0197889,-0.00120888,1.0754,-0.0111096,0,0,0,0,0,0,0,0,0,0
39,-0.0629853,-0.0225362,-0.014077,-0.417389,-0.00351963,-0.00188922,0.273891,0.00816068,0,0,0,0,0,0,0,0,0,0
40,-0.912142,0.0677559,-0.0152869,0.0599269,0.00852256,0.000373478,0.986516,0.0179388,0,0,0,0,0,0,0,0,0,0
41,-0.137465,-0.0206512,0.0016173,-0.406562,-0.00221583,0.000433561,0.321105,-0.221995,0,0,0,0,0,0,0,0,0,0
42,-1.52465,0.0244886,-0.00284268,0.0268674,-0.0469745,-0.000155858,0.676418,0.093884,0,0,0,0,0,0,0,0,0,0
43,-1.19342,-0.0191661,0.00213432,0.0187462,0.0457037,3.12454e-06,-1.9997,-0.0344222,0,0,0,0,0,0,0,0,0,0
44,-1.43554,-0.0714021,-0.00119695,-0.228469,-0.00918491,0.00123513,-0.763983,-0.145874,0,0,0,0,0,0,0,0,0,0
45,-2.18015,-0.129355,0.0127093,0.403218,0.00809124,0.000797543,0.351077,-0.292573,0,0,0,0,0,0,0,0,0,0
46,2.77534,0.147383,0.00167235,0.0815727,0.0346893,-0.00346337,0.200417,-0.0336329,0,0,0,0,0,0,0,0,0,0
47,-0.503136,0.0558118,-0.0242966,0.150404,0.0554002,0.00257004,-0.0708682,0.0618181,0,0,0,0,0,0,0,0,0,0
48,-1.13551,-0.0748451,0.0196878,-0.146586,0.0515732,0.0049531,-0.190049,-0.252956,0,0,0,0,0,0,0,0,0,0
49,0.304985,-0.00683166,-0.0214388,-0.207602,0.0589764,0.00220615,0.342896,0.0938361,0,0,0,0,0,0,0,0,0,0
50,1.70768,-0.023345,-0.00126267,0.0159961,0.0107211,0.000300669,0.143312,-0.0109332,0,0,0,0,0,0,0,0,0,0
51,0.271838,-0.0242991,-0.0126008,-0.335331,0.00847378,0.000869839,0.0219384,0.131969,0,0,0,0,0,0,0,0,0,0
52,-0.780276,-0.0208853,0.00342094,-0.377886,-0.0724205,-0.00216059,-0.942379,0.0492692,0,0,0,0,0,0,0,0,0,0
53,1.9618,-0.0279532,-0.0140375,-0.267533,0.00394961,-0.010695,0.178308,-0.0598119,0,0,0,0,0,0,0,0,0,0
54,0.17415,0.0291338,-0.0058197,-0.127039,-0.00913221,-0.00276204,1.10189,0.162374,0,0,0,0,0,0,0,0,0,0
55,-0.628312,-0.0587985,0.0294633,-0.221174,0.065682,0.00600922,-0.137504,0.0948031,0,0,0,0,0,0,0,0,0,0
56,0.120207,0.0303722,-0.00581917,-0.214181,0.0174208,0.0018112,0.513579,0.0651532,0,0,0,0,0,0,0,0,0,0
57,-0.291604,-0.0491645,3.72491e-05,-0.272704,0.0295493,0.0050871,-0.859346,0.0703591,0,0,0,0,0,0,0,0,0,0
