"sim" "med1" "med2" "med3" "med4" "med5" "med6" "med7"
1 4.80689525004063 7.43887529216371 2.39915638193993 5.60346331230334 6.51622947678595 4.26472423642734 267.787323517571
2 4.74771158633908 7.43419597201163 2.37899648521502 5.52188430798909 6.37625333806459 4.42430109356343 266.286262384417
3 4.32090853039057 7.43807975240546 2.32105788582322 5.30970014877322 6.22070760535215 4.44908523838451 248.099814876091
4 4.70152797968659 7.43896297684393 2.22603482265904 5.44914599870593 6.49122761661689 4.23945241781679 255.25291562371
5 4.41592467717204 7.44153452398565 2.51086720904351 5.47548574580492 6.38420472030948 4.38000651339656 252.685655341376
6 4.71070154014258 7.43334689746358 2.50974275691879 5.29969965932621 6.38938701938126 4.39656343106326 260.252300316228
7 4.48124485055342 7.44261558265605 2.12877573169977 5.50697572311313 6.39646545255282 4.37870278710729 276.609607807075
8 4.57726143123553 7.43620796241363 2.23623191478508 5.46755896648755 6.4273261788866 4.22708376738475 264.360783085225
9 4.58233110090449 7.44311817162198 2.31441108623646 5.3824209553089 6.45016817459584 4.26260392163757 261.518125730812
10 4.52243455027367 7.4320454330526 2.49056991180266 5.25578367256089 6.40081812261275 4.15743379892807 262.855347912538
11 4.79790873161672 7.42925534298819 2.4310646655549 5.24524396860671 6.48291490994412 4.42587974153795 258.825580627536
12 4.67706307737981 7.42737915518653 2.3296180795299 5.38018523892403 6.43605454005148 4.39869487350668 255.330330093626
13 4.70957538404665 7.44175196057277 2.34884665373885 5.5939951094993 6.44122797250381 4.39468647083979 254.755943895608
14 4.72549523753026 7.43835092419984 2.32496010114189 5.87581225736211 6.33602858294795 4.29844296737109 252.61927061842
15 4.43049097210506 7.43548486121184 2.59254659907968 5.29664865556719 6.40704381152873 4.43443235601121 255.722155151441
16 4.63564785933612 7.43438033833878 2.27105643879958 5.45840067719928 6.43192390052753 4.57018712191042 254.266358523474
17 4.44521354208384 7.4378842926145 2.29981505748955 5.44469138165784 6.32116921390831 4.53093829210157 261.213410369517
18 4.41123892667459 7.44326552936894 2.34944859352816 5.48713071767692 6.42589553965071 4.33587725809243 263.40899313085
19 4.52252790695049 7.43882172844101 2.4048043397631 5.36552134419598 6.29387329944138 4.27399793203582 275.936799502639
20 4.59317793014872 7.44621535902163 2.28031788608008 5.56549968490185 6.3891625365222 4.24401495054748 252.755496093588
21 4.897603807432 7.43412970996483 2.54730859787931 5.47055998638517 6.46830014849748 4.21662251579911 259.264625409234
22 4.83747432982909 7.43966520472215 2.55512211463001 5.37315239763069 6.43206829759712 4.37340999643884 262.045806340745
23 4.52783283288286 7.44066511078518 2.37166530100604 5.44576549581768 6.40011606542319 4.38458503042262 264.236738266081
24 4.68505180850763 7.43207257199144 2.28934679840154 5.42124569823047 6.28094158247341 4.38796735708712 266.109280120252
25 4.58945326174034 7.43484174586555 2.37261171273044 5.47482388204717 6.28463524515418 4.27799770037421 250.894553601742
26 4.57901893607244 7.43936235922918 2.64202680926015 5.64690191276526 6.38588481053445 4.48165489073174 257.781807383743
27 4.44607702689821 7.44392492337584 2.30034644555254 5.49953023691144 6.36977817435446 4.54435415614898 254.637699247478
28 4.63161622238574 7.44226704182057 2.37980286158011 5.74436512037248 6.5829694386429 4.35774788461478 245.211318613081
29 4.53481941106829 7.44076001360608 2.36689639290472 5.59383955335948 6.43560111968828 4.3455497991248 266.962954279185
30 4.69733029046269 7.44624325064964 2.24887681274417 5.4788317049051 6.38252873380594 4.3668996163636 258.717202257771
31 4.58379162531466 7.44058310558638 2.44368932497689 5.54028713401691 6.43709403413945 4.27171328486697 251.334739287724
32 4.6237872644268 7.44034556365471 2.29950248525998 5.60158371745315 6.39605742615959 4.34855871269797 266.303361829694
33 4.67347830862976 7.43660031293139 2.38510833993343 5.70795854911346 6.33023098980965 4.33080520548922 264.154776196236
34 4.38869016463804 7.43249838704912 2.34177869709254 5.59008312853284 6.34858581773928 4.37330045587113 253.794102487495
35 4.4068906516293 7.43622521855224 2.38436900397518 5.37107337224479 6.48645578539935 4.23066653404409 256.792013825416
36 4.26197381990359 7.44067658155411 2.44600316512054 5.57251542349024 6.47956722100432 4.34524262088411 254.708869699223
37 4.5806650622122 7.43881099955086 2.49173660868696 5.33010011433822 6.47289644450219 4.34062466730645 270.365484211788
38 4.55154322367785 7.44336387467325 2.32385628861301 5.59274091706493 6.42423048432293 4.31245075293813 249.894667652813
39 4.19610494151743 7.43313282723176 2.29854101735476 5.46757953351825 6.33109216033055 4.50749144954387 260.531820062419
40 4.51834275625167 7.43429259074664 2.44030192179921 5.27009354313821 6.46692835485976 4.38182924582345 260.534191332733
41 4.55359346905775 7.43608683971848 2.28170732081011 5.44107457546698 6.40974225343648 4.35282483536827 248.654696059437
42 4.28845437375048 7.43998916647131 2.1983850350138 5.52332150715962 6.32184889211192 4.23934635579636 265.501823547652
43 4.41800683950192 7.44074417705302 2.62825913251827 5.3133498953476 6.47377164561515 4.10332547312086 260.817173431841
44 4.52911220396351 7.43552557845175 2.4082521177481 5.60717894210318 6.42395656273944 4.33250597386295 253.968951777021
45 4.26599405048266 7.43734079428994 2.24792983847684 5.39782733682591 6.450972366402 4.32900671607917 272.427746002322
46 4.45982751988752 7.44371099025251 2.30535963220353 5.64353195504488 6.36390048186375 4.34816814329697 252.74983371502
47 4.52629670394993 7.43219441818332 2.49404418551128 5.2758482530419 6.43698637246927 4.43727562856597 268.565101302503
48 4.68512810948986 7.43249671159297 2.45781993767139 5.33731460689036 6.57609281110359 4.31631672557254 258.318296595707
49 4.5214891836312 7.43691678858426 2.45854874754471 5.34261681690608 6.32375165894683 4.37503631150732 271.623868726071
50 4.79970568762753 7.4330303718499 2.24974442772255 5.39811225213007 6.42683002602516 4.38003579011874 243.584068503804
51 4.33041606268663 7.44937710651746 2.33056528993502 5.80187633285008 6.31818093942839 4.23529303452675 245.492820472196
52 4.62308740455082 7.43232538580598 2.21442821685921 5.33050867092496 6.43274288759542 4.23333492569076 266.347303804888
53 4.47846038976049 7.42922010297626 2.36983134031989 5.28227310319499 6.41778626152277 4.48538928471204 270.438978365966
54 4.58187759850669 7.42998460323782 2.53829241304279 5.29069452728635 6.53404798739254 4.44027442067643 267.486596802397
55 4.64242760955146 7.43477506545757 2.47079675685558 5.46316619724795 6.60315250844148 4.4906755414863 265.110558685031
56 4.57270112092389 7.43386400015899 2.39082977844731 5.37222235842374 6.5290187402409 4.31159865442688 260.93438163351
57 4.67664281356533 7.43126766686009 2.33154248359944 5.49656448786761 6.42261840551568 4.34221404949582 256.473202816485
58 4.92263220239103 7.4427319083345 2.42211844376659 5.32711945944451 6.3633223662311 4.28654759022258 267.045688272217
59 4.64800800495828 7.43519126430665 2.39544764663739 5.37228102203112 6.49510263781752 4.44462187406857 252.793154189682
60 4.60607179715292 7.4278659376907 2.45460953541146 5.35213050165142 6.48633101140212 4.24683480655429 263.474599014961
61 4.5167390304614 7.43730702900166 2.36799815933654 5.53520218517609 6.29551949796981 4.40743001698682 274.622117383793
62 4.4907176534509 7.43641113235145 2.2932657932926 5.51171656611725 6.27074768457235 4.34335193645331 264.207650581344
63 4.8735641481205 7.43947474338556 2.30974029863326 5.61223545454918 6.50078398168927 4.31381488038341 266.397747240872
64 4.31993648337009 7.4472502255032 2.39152315320995 5.75359199930103 6.44140791435385 4.4115544448822 254.330359874627
65 4.61738672478918 7.43632179433074 2.53921348945369 5.41784105215551 6.37667876459743 4.39955095704137 258.016861191313
66 4.77930315054245 7.43645807374166 2.3225657363726 5.56619757698046 6.27977052456849 4.40717337734801 254.00948591731
67 4.68276577564441 7.43314258983195 2.30861199053853 5.4070547726633 6.28060605055763 4.34652142790654 263.388145139032
68 4.61242400860105 7.43089488430257 2.15074686955881 5.24140458308884 6.41161205404962 4.43878095441167 267.01894638256
69 4.72481625197271 7.44114554524798 2.19384042772282 5.54045365695151 6.34364133095666 4.30274182470757 257.858546737824
70 4.58887498058548 7.44108207223631 2.40003290492133 5.56355744255836 6.46582778922387 4.45556480106858 266.055863643082
71 4.69867974519226 7.44349946382384 2.21275622540725 5.55532391208401 6.38378317044923 4.31227729151438 263.345274262955
72 4.70901370925344 7.43569526284803 2.50159400811931 5.30192028819974 6.39860422714287 4.47293264120699 258.674436665309
73 4.77723805220565 7.44206158767235 2.08304809289994 5.38439528777471 6.35030024953754 4.39663286488342 253.728933079579
74 4.59913521599004 7.43580587688441 2.42098962659482 5.70022473115018 6.32283370731869 4.26240429619673 264.006272193307
75 4.5424140984394 7.43485252240798 2.47500761501898 5.48581495514297 6.39997780154015 4.42033757847934 256.73456536187
76 4.68162724599421 7.44120034005524 2.20954735153398 5.48770446727056 6.29624967410262 4.3170808257858 257.604599714773
77 4.60645798137787 7.44260520657408 2.11695189423145 5.44389862496477 6.23128994161985 4.31206363722992 264.684820886255
78 4.40631737749292 7.4501306531877 2.54255167023319 5.75463145663291 6.42509221162904 4.45958671209717 267.289232504764
79 4.79776644605751 7.42808551594237 2.5106503382155 5.34538457712665 6.46732756039693 4.40779772178697 257.905588093766
